id,name,parent_id
1,Еда,
2,Мясная продукция,1
3,Свинина,2
4,Свинина Деликатес,3
5,Свинина Премиум,4
6,Говядина,2
7,Курица,2
8,Молочная продукция,1
9,Сыр,8
10,Йогурт,8
11,Автомобили,
12,Легковые,11
13,Запчасти,12
14,Аксессуары,12
15,Грузовые,11
16,Техника,
17,Компьютеры,16
18,Ноутбуки,17
19,Мониторы,17
20,Периферия,17
21,Смартфоны,16
22,Apple,21
23,Samsung,21
24,Техника для дома,16
25,Пылесосы,24
26,Стиральные машины,24
27,Одежда,
28,Мужская,27
29,Женская,27
30,Детская,27
31,Обувь,27
32,Элитная обувь,31
33,Спортивная обувь,31
34,Обувь премиум,32
35,Обувь luxury,34
