id,name,building_id,phones
1,ООО "Рога и Копыта",1,222-222;333-333
2,ООО "Молочная Сказка",2,234-234;345-345
3,ООО "АвтоМир",3,111-111
4,ООО "Сырный Дом",4,555-555;666-666
5,ООО "Говяжий Рай",5,777-777
6,ООО "Куриная Лавка",6,888-888
7,ООО "КомпьютерПро",7,999-999
8,ООО "СмартфонСити",8,101-101
9,ООО "ПылесосПлюс",9,202-202
10,ООО "Одежда и Мода",10,303-303;404-404
11,ООО "Детский мир",1,505-505
12,ООО "АвтоЗапчасти",2,606-606
13,ООО "Мясной мир",3,707-707
14,ООО "МониторПро",4,808-808
15,ООО "ОбувьПлюс",5,909-909
